municipio_nome,ibge,rf,uf,cep_inicio,cep_fim
SANTOS,3548500,7071,SP,11000,11199
SAO VICENTE,3551702,7121,SP,11300,11399
GUARUJA,3518701,6475,SP,11400,11499
PRAIA GRANDE,3541000,6921,SP,11700,11799
CUBATAO,3513801,6371,SP,11500,11599
BERTIOGA,3506359,2965,SP,11250,11299
ITANHAEM,3523909,6543,SP,11740,11799
MONGAGUA,3531100,6723,SP,11730,11749
PERUIBE,3537008,6853,SP,11750,11799
