municipio_nome,secao_nome,n_empresas,ano_referencia
ITANHAEM,Atividades Imobiliárias,142,2026
PERUIBE,Atividades Imobiliárias,115,2026
GUARUJA,Água e Saneamento,115,2026
SAO VICENTE,Água e Saneamento,112,2026
BERTIOGA,Atividades Financeiras,110,2026
PRAIA GRANDE,Agricultura e Pecuária,109,2026
PRAIA GRANDE,Água e Saneamento,105,2026
MONGAGUA,Outros,94,2026
MONGAGUA,Atividades Imobiliárias,91,2026
SANTOS,Agricultura e Pecuária,90,2026
GUARUJA,Agricultura e Pecuária,84,2026
MONGAGUA,Artes e Cultura,82,2026
SANTOS,Água e Saneamento,79,2026
SAO VICENTE,Agricultura e Pecuária,75,2026
ITANHAEM,Água e Saneamento,72,2026
ITANHAEM,Agricultura e Pecuária,61,2026
PERUIBE,Atividades Financeiras,60,2026
CUBATAO,Água e Saneamento,54,2026
SANTOS,Eletricidade e Gás,54,2026
ITANHAEM,Atividades Financeiras,53,2026
MONGAGUA,Água e Saneamento,49,2026
PERUIBE,Agricultura e Pecuária,47,2026
MONGAGUA,Atividades Financeiras,44,2026
PERUIBE,Água e Saneamento,40,2026
CUBATAO,Atividades Financeiras,35,2026
CUBATAO,Atividades Imobiliárias,32,2026
BERTIOGA,Agricultura e Pecuária,31,2026
BERTIOGA,Água e Saneamento,30,2026
CUBATAO,Agricultura e Pecuária,27,2026
MONGAGUA,Agricultura e Pecuária,25,2026
SANTOS,Administração Pública,22,2026
SAO VICENTE,Administração Pública,21,2026
GUARUJA,Administração Pública,19,2026
CUBATAO,Administração Pública,18,2026
PRAIA GRANDE,Administração Pública,16,2026
PERUIBE,Administração Pública,11,2026
SANTOS,Indústria Extrativa,11,2026
BERTIOGA,Administração Pública,10,2026
ITANHAEM,Administração Pública,9,2026
MONGAGUA,Administração Pública,8,2026
ITANHAEM,Indústria Extrativa,4,2026
PERUIBE,Indústria Extrativa,4,2026
SAO VICENTE,Indústria Extrativa,3,2026
CUBATAO,Eletricidade e Gás,2,2026
MONGAGUA,Indústria Extrativa,2,2026
GUARUJA,Indústria Extrativa,1,2026
